count,noun,verb
122,Azoles,are
79,Aztecs,joined
46,Aztlan,sets
163,Azuchi,was
108,azimuths,would
52,Azad,admitted
473,Azathioprine,was
262,Azerbaidzhan,SSR
67,Azhar,remains
82,Azione,was
104,Aziz,conquered
158,Azores,must
444,Azrael,is
112,Aztlan,would
81,Azucarera,y
84,azalea,leaves
81,azollae,is
75,Azathioprine,inhibits
76,Azeglio,were
45,Azerbaijanis,left
192,Azo,is
52,azulejos,have
193,Azaro,is
211,Aziz,reached
307,Azor,is
43,azaguanine,has
52,azimuths,ranging
244,Azariah,became
72,Azuera,could
143,Azzopardi,et
40,azahar,may
491,azimuth,should
93,azote,were
43,Azam,tried
71,Azizun,caught
47,Aztec,stood
173,Aztecs,furnish
310,azimuth,equals
335,azulene,is
100,Azad,must
82,Azevedo,made
69,Azores,belonged
58,Aztecs,pictured
2627,az,is
101,azimuth,pointing
155,azygos,fissure
126,Azam,believed
81,Azapropazone,is
43,Azariah,will
139,Azcapotzalco,had
85,Azmi,said
55,Azolla,will
168,Azure,doubled
47,azeotropes,do
49,Azalea,indica
54,Azam,stated
109,Azangaro,is
92,Aztecs,relied
184,Azii,k
69,Aziz,created
49,Aztec,should
57,Aztecan,has
114,Aztecs,go
1865,Azad,is
40,azaleas,formed
192,azimuth,taken
72,Azad,insisted
62,Azara,writes
393,Aztecs,continued
156,azide,does
138,AZT,prophylaxis
791,Azalea,is
102,Azeglio,writes
86,Aztecs,displayed
164,azimuth,given
115,Azam,says
44,Azores,sighted
146,Azoturia,is
560,AZT,must
76,Az,tends
426,Azoff,was
156,azithromycin,should
50,azotemia,appears
210,azure,cope
276,Azad,advised
264,Azari,et
95,Azariah,made
80,Aziz,stopped
374,Azolla,pinnata
69,azaleas,cover
78,azotemia,becomes
162,Azar,said
51,Azerbaijanis,has
127,Azikiwe,led
47,Aziz,supported
63,Aztec,went
58,azithromycin,given
220,Azalea,has
102,Azalia,was
50,Azerbaijan,see
68,Azim,could
266,Aziz,thought
706,Aztecs,fought
46,Azad,appealed
157,Azam,died
63,Azamgarh,are
227,Aziz,insisted
252,Azolla,caroliniana
154,Aztldn,is
330,azaleas,had
178,azoospermia,has
296,Azara,had
67,Azeris,will
81,Azevedo,does
224,Aziz,ordered
1884,Azores,is
63,azar,should
212,AZA,had
140,Azevedo,wrote
103,Aziz,rose
239,Azobenzene,is
323,Azov,are
667,Aztecs,carried
126,Azzam,said
60,Azaleas,must
69,Azeglio,expressed
169,Azerbaijan,took
2402,Aziz,has
86,Aztec,knew
397,Azulene,is
50,azures,are
106,AZAPO,has
188,Azaleas,should
196,Azores,Is
73,Aztecs,carved
98,Aztlan,have
1008,azimuths,being
122,Azal,had
537,Aziz,argues
101,Azospirillum,have
66,azaleas,flourish
183,AZAD,HIND
235,Azad,presided
258,Azhar,would
296,Aziz,decided
343,Azm,was
140,Azores,might
182,Aztecs,employed
412,Azzone,et
72,azaleas,lined
49,azimuths,round
117,azoles,has
417,AZ,was
148,Azad,lived
92,Azam,have
211,Azikiwe,put
287,Aziz,should
80,Aziza,looked
129,Aztecs,drew
57,Azur,have
96,Azzam,has
100,Aziz,chose
424,Azrael,had
59,Aztecs,afford
196,Aztlan,had
55,az,would
91,azaleas,prefer
64,azoxymethane,induced
260,azimuth,determined
253,azimuthal,anchoring
